cleanup_agency,count
Dehu Eco Team,1
PCMC Volunteers,1
Local Youth Group,1
Pune MC,1
Pune Civic Team,1
PMC & NGO volunteers,1
Local Mandal,1
Grassroots Force,1
Baramati Eco Team,1
Baramati Civic,1
Indapur Volunteers,1
Youth Mandal,1
Akluj Clean Squad,1
School Volunteers,1
Natepute Civic,1
Velapur Eco Force,1
Shegaon Mandal,1
Wakhari Volunteers,1
Local Volunteers,1
Borgaon Eco Group,1
Anthurne Mandal,1
Nimgaon Volunteers,1
Indapur Women Mandal,1
Bhandishegaon Civic,1
Wakhari Cleaners,1
Pandharpur Volunteers,1
Nirmal Pandharpur Mission,1
Temple Staff & Volunteers,1
City MC,1
City Civic Force,1
