village,count
Wakhari,2
Akurdi,1
Nigdi (Dehu stretch),1
Pune (Nana Peth),1
Dehu,1
Hadapsar,1
Loni Kalbhor,1
Yavat (Valhe region),1
Varvand,1
Baramati,1
Indapur,1
Indapur (Golringan),1
Pune (Shivajinagar),1
Akluj,1
Akluj (Mane Vidyalaya),1
Velapur,1
Natepute,1
Shegaon (Bhandishegaon),1
Pirachi Kuroli,1
Borgaon (Shripur),1
Anthurne,1
Nimgaon Ketki,1
Indapur (second halt),1
Bhandishegaon,1
Pandharpur Road Stretch,1
Pandharpur Inner,1
Pandharpur Temple,1
Pandharpur (Market area),1
Pandharpur (Crowd area),1
