convoy_name,count
Shree Vitthal Transport Dindi 1,1
Bhakt Seva Convoy A,1
Sai Mandir Transport Unit,1
Omkar Logistics Team,1
Jai Malhar Convoy,1
Shivtej Cargo Movement,1
Vitthal Sevak Transport,1
Ganraj Logistics,1
Swami Samarth Convoy,1
Palkhi Seva Express,1
Namdev Logistics,1
Bhakt Unity Convoy,1
Tulsi Cargo Movers,1
Haripath Transport,1
Gajanan Transport Unit,1
Anand Darshan Convoy,1
Narayani Express,1
Krishna Movers,1
Seva Bhav Convoy,1
Shree Krishna Express,1
Bhakt Ekta Group,1
Sant Seva Transport,1
Om Sai Convoy,1
Dindi Cargo Team,1
Bhavya Mandal Movers,1
Varkari Express,1
Path Seva Unit,1
Vitthal Darshan Movers,1
Jai Hari Transport,1
Bhakti Marg Convoy,1
