route_id,origin,destination,distance_km,halt_duration_hrs,terrain_type,medical_camp,water_points,police_presence,traffic_control,estimated_palkhi_time,is_well_supported,difficulty_score,estimated_speed_kmph
R001,Dehu,Pune,30,3.0,Urban,Yes,3,High,Yes,2025-06-28 08:30,0,0,
R002,Pune,Hadapsar,12,2.0,Urban,Yes,2,High,Yes,2025-06-28 11:00,0,0,
R003,Hadapsar,Loni Kalbhor,15,1.0,Suburban,Yes,2,Medium,Yes,2025-06-28 13:00,0,0,
R004,Loni Kalbhor,Uruli Kanchan,11,1.0,Rural,Yes,1,Medium,Yes,2025-06-28 14:30,0,0,
R005,Uruli Kanchan,Varvand,18,3.0,Rural,Yes,2,Medium,Yes,2025-06-28 17:00,0,0,
R006,Varvand,Patas,17,1.5,Rural,Yes,1,Medium,Yes,2025-06-29 08:30,0,0,
R007,Patas,Baramati,22,4.0,Rural,Yes,2,Medium,Yes,2025-06-29 12:00,0,0,
R008,Baramati,Indapur,28,3.0,Rural,Yes,3,High,Yes,2025-06-29 16:00,0,0,
R009,Indapur,Akluj,33,4.0,Rural,Yes,3,High,Yes,2025-06-30 07:00,0,0,
R010,Akluj,Pandharpur,38,5.0,Rural,Yes,4,Very High,Yes,2025-06-30 12:30,0,0,
R011,Dehu,Alandi,10,1.5,Urban,Yes,2,High,Yes,2025-06-27 07:30,0,0,
R012,Alandi,Pune,20,3.0,Urban,Yes,3,High,Yes,2025-06-27 11:00,0,0,
R013,Pune,Saswad,25,4.0,Rural,Yes,2,Medium,Yes,2025-06-28 15:00,0,0,
R014,Saswad,Jejuri,28,5.0,Hilly,Yes,2,Medium,Yes,2025-06-29 09:00,0,3,
R015,Jejuri,Baramati,32,4.0,Rural,Yes,3,High,Yes,2025-06-29 16:00,0,0,
R016,Baramati,Katewadi,12,2.0,Rural,Yes,1,Medium,Yes,2025-06-30 06:00,0,0,
R017,Katewadi,Indapur,20,2.5,Rural,Yes,2,Medium,Yes,2025-06-30 08:30,0,0,
R018,Indapur,Malshiras,24,3.0,Rural,Yes,3,High,Yes,2025-06-30 12:00,0,0,
R019,Malshiras,Akluj,16,2.0,Rural,Yes,2,High,Yes,2025-07-01 06:00,0,0,
R020,Akluj,Natepute,20,2.0,Rural,Yes,2,Medium,Yes,2025-07-01 09:00,0,0,
R021,Natepute,Mohol,22,2.5,Rural,Yes,2,Medium,Yes,2025-07-01 12:00,0,0,
R022,Mohol,Shegaon,18,2.0,Rural,Yes,2,Medium,Yes,2025-07-01 14:30,0,0,
R023,Shegaon,Vakhari,25,3.0,Rural,Yes,2,Medium,Yes,2025-07-01 17:30,0,0,
R024,Vakhari,Pandharpur,10,1.0,Urban,Yes,2,Very High,Yes,2025-07-02 06:00,0,0,
R025,Dehu,Chinchwad,15,2.0,Urban,Yes,2,High,Yes,2025-06-26 08:00,0,0,
R026,Chinchwad,Pune,18,2.0,Urban,Yes,2,High,Yes,2025-06-26 10:30,0,0,
R027,Pune,Hadapsar,12,2.0,Urban,Yes,2,High,Yes,2025-06-26 13:00,0,0,
R028,Hadapsar,Kondhwa,10,1.0,Suburban,Yes,1,Medium,Yes,2025-06-26 14:30,0,0,
R029,Kondhwa,Loni Kalbhor,13,2.0,Rural,Yes,1,Medium,Yes,2025-06-26 16:00,0,0,
R030,Loni Kalbhor,Patas,22,3.0,Rural,Yes,2,Medium,Yes,2025-06-27 08:30,0,0,
